entity1,entity2,sentence
légions,thranduil,"Durant la Guerre de l'Anneau, les légions de Dol Guldur mènent une guerre sur deux fronts, en luttant à la fois contre la Lórien à l'ouest et contre le Royaume sylvestre de Thranduil au nord."
légions,sylvestre,"Durant la Guerre de l'Anneau, les légions de Dol Guldur mènent une guerre sur deux fronts, en luttant à la fois contre la Lórien à l'ouest et contre le Royaume sylvestre de Thranduil au nord."
légions,nord,"Durant la Guerre de l'Anneau, les légions de Dol Guldur mènent une guerre sur deux fronts, en luttant à la fois contre la Lórien à l'ouest et contre le Royaume sylvestre de Thranduil au nord."
citadelle,couvre,"Dans le film Le Hobbit : Un voyage inattendu, Radagast entre dans la forteresse à la suite d'une attaque d’araignées sur Rhosgobel et découvre que la citadelle est occupée par le Nécromancien."
citadelle,forteresse,"Dans le film Le Hobbit : Un voyage inattendu, Radagast entre dans la forteresse à la suite d'une attaque d’araignées sur Rhosgobel et découvre que la citadelle est occupée par le Nécromancien."
désolation,smaug,"Dans le film Le Hobbit : La désolation de Smaug, Gandalf se rend lui-même à Dol Guldur pour démasquer et confondre le Nécromancien."
désolation,masque,"Dans le film Le Hobbit : La désolation de Smaug, Gandalf se rend lui-même à Dol Guldur pour démasquer et confondre le Nécromancien."
bataille,armées,"Dans Le Hobbit : La Bataille des Cinq Armées, Galadriel vient sauver Gandalf mais elle est attaquée par les Nazgûls."
bataille,nazgûls,"Dans Le Hobbit : La Bataille des Cinq Armées, Galadriel vient sauver Gandalf mais elle est attaquée par les Nazgûls."
forteresse,vidéo,"La forteresse de Dol Guldur est également visible dans plusieurs jeux vidéo, comme par exemple"
forteresse,jeux,"La forteresse de Dol Guldur est également visible dans plusieurs jeux vidéo, comme par exemple"
informations,noms,Informations générales Autres noms DieuLe Père Naissance Avant le Début des temps dans le Vide Mort Immortel Sexe Masculin Royaume Eä (l'Univers) Environnement Famille Valar et Maiar Ennemi(s)
informations,environnement,Informations générales Autres noms DieuLe Père Naissance Avant le Début des temps dans le Vide Mort Immortel Sexe Masculin Royaume Eä (l'Univers) Environnement Famille Valar et Maiar Ennemi(s)
informations,maia,Informations générales Autres noms DieuLe Père Naissance Avant le Début des temps dans le Vide Mort Immortel Sexe Masculin Royaume Eä (l'Univers) Environnement Famille Valar et Maiar Ennemi(s)
informations,dieule,Informations générales Autres noms DieuLe Père Naissance Avant le Début des temps dans le Vide Mort Immortel Sexe Masculin Royaume Eä (l'Univers) Environnement Famille Valar et Maiar Ennemi(s)
informations,sexe,Informations générales Autres noms DieuLe Père Naissance Avant le Début des temps dans le Vide Mort Immortel Sexe Masculin Royaume Eä (l'Univers) Environnement Famille Valar et Maiar Ennemi(s)
informations,famille,Informations générales Autres noms DieuLe Père Naissance Avant le Début des temps dans le Vide Mort Immortel Sexe Masculin Royaume Eä (l'Univers) Environnement Famille Valar et Maiar Ennemi(s)
silmarillioncontes,sindar,Le SilmarillionContes et légendes inachevés Eru Ilúvatar (Sindarin  
enfants,ainur,"Les enfants d'Ilúvatar sont les elfes et les hommes, et les Ainur n'ont aucune part à leur création."
ainur,enfants,"Les enfants d'Ilúvatar sont les elfes et les hommes, et les Ainur n'ont aucune part à leur création."
lumière,étincelantes,"La lumière du soleil, des étoiles et de la luneEn d'étincelantes lampes dans le cristal taillées,Jamais obscurcie par les nuages ou les ombres de la nuit,Brillait toujours là, belle et éclatante."
lumière,jours,"La lumière du soleil, des étoiles et de la luneEn d'étincelantes lampes dans le cristal taillées,Jamais obscurcie par les nuages ou les ombres de la nuit,Brillait toujours là, belle et éclatante."
lumière,soleil,"La lumière du soleil, des étoiles et de la luneEn d'étincelantes lampes dans le cristal taillées,Jamais obscurcie par les nuages ou les ombres de la nuit,Brillait toujours là, belle et éclatante."
lumière,étoiles,"La lumière du soleil, des étoiles et de la luneEn d'étincelantes lampes dans le cristal taillées,Jamais obscurcie par les nuages ou les ombres de la nuit,Brillait toujours là, belle et éclatante."
lumière,éclata,"La lumière du soleil, des étoiles et de la luneEn d'étincelantes lampes dans le cristal taillées,Jamais obscurcie par les nuages ou les ombres de la nuit,Brillait toujours là, belle et éclatante."
lumière,obscurcie,"La lumière du soleil, des étoiles et de la luneEn d'étincelantes lampes dans le cristal taillées,Jamais obscurcie par les nuages ou les ombres de la nuit,Brillait toujours là, belle et éclatante."
lumière,luneen,"La lumière du soleil, des étoiles et de la luneEn d'étincelantes lampes dans le cristal taillées,Jamais obscurcie par les nuages ou les ombres de la nuit,Brillait toujours là, belle et éclatante."
lumière,lampes,"La lumière du soleil, des étoiles et de la luneEn d'étincelantes lampes dans le cristal taillées,Jamais obscurcie par les nuages ou les ombres de la nuit,Brillait toujours là, belle et éclatante."
maçon,frappa,"Là, le marteau sur l'enclume frappait,Là, le ciseau clivait, et le graveur écrivait;Là, était forgée la lame et fixée la garde;L'excavateur creusait, le maçon bâtissait."
maçon,fixée,"Là, le marteau sur l'enclume frappait,Là, le ciseau clivait, et le graveur écrivait;Là, était forgée la lame et fixée la garde;L'excavateur creusait, le maçon bâtissait."
maçon,marteau,"Là, le marteau sur l'enclume frappait,Là, le ciseau clivait, et le graveur écrivait;Là, était forgée la lame et fixée la garde;L'excavateur creusait, le maçon bâtissait."
maçon,garde,"Là, le marteau sur l'enclume frappait,Là, le ciseau clivait, et le graveur écrivait;Là, était forgée la lame et fixée la garde;L'excavateur creusait, le maçon bâtissait."
maçon,graveur,"Là, le marteau sur l'enclume frappait,Là, le ciseau clivait, et le graveur écrivait;Là, était forgée la lame et fixée la garde;L'excavateur creusait, le maçon bâtissait."
perle,hache,"Là, étaient accumulés le béryl, la perle et la pâle opale,Et le métal forgé comme les écailles du poisson,Le bouclier et le corselet, la hache et l'épée,Et les lances brillantes."
perle,béryl,"Là, étaient accumulés le béryl, la perle et la pâle opale,Et le métal forgé comme les écailles du poisson,Le bouclier et le corselet, la hache et l'épée,Et les lances brillantes."
perle,lances,"Là, étaient accumulés le béryl, la perle et la pâle opale,Et le métal forgé comme les écailles du poisson,Le bouclier et le corselet, la hache et l'épée,Et les lances brillantes."
perle,pâle,"Là, étaient accumulés le béryl, la perle et la pâle opale,Et le métal forgé comme les écailles du poisson,Le bouclier et le corselet, la hache et l'épée,Et les lances brillantes."
perle,brillantes,"Là, étaient accumulés le béryl, la perle et la pâle opale,Et le métal forgé comme les écailles du poisson,Le bouclier et le corselet, la hache et l'épée,Et les lances brillantes."
perle,corselet,"Là, étaient accumulés le béryl, la perle et la pâle opale,Et le métal forgé comme les écailles du poisson,Le bouclier et le corselet, la hache et l'épée,Et les lances brillantes."
perle,accumulés,"Là, étaient accumulés le béryl, la perle et la pâle opale,Et le métal forgé comme les écailles du poisson,Le bouclier et le corselet, la hache et l'épée,Et les lances brillantes."
perle,poisson,"Là, étaient accumulés le béryl, la perle et la pâle opale,Et le métal forgé comme les écailles du poisson,Le bouclier et le corselet, la hache et l'épée,Et les lances brillantes."
montagnes,frappe,"Le monde est gris, les montagnes sont vieilles;Le feu de la forge est d'un froid de cendre;Nulle harpe n'est pincée, nul marteau ne frappe :Les ténèbres règnent dans les salles de Durïn;L'ombre s'étend sur son tombeauEn la Moria, à Khazad-dûmMais encore les étoiles noyées apparaissentDans le sombre Lac du Miroir privé de vent;Là gît sa couronne dans l'eau profonde,Jusqu'à ce que Durïn du sommeil s'éveille."
montagnes,étoiles,"Le monde est gris, les montagnes sont vieilles;Le feu de la forge est d'un froid de cendre;Nulle harpe n'est pincée, nul marteau ne frappe :Les ténèbres règnent dans les salles de Durïn;L'ombre s'étend sur son tombeauEn la Moria, à Khazad-dûmMais encore les étoiles noyées apparaissentDans le sombre Lac du Miroir privé de vent;Là gît sa couronne dans l'eau profonde,Jusqu'à ce que Durïn du sommeil s'éveille."
montagnes,règnent,"Le monde est gris, les montagnes sont vieilles;Le feu de la forge est d'un froid de cendre;Nulle harpe n'est pincée, nul marteau ne frappe :Les ténèbres règnent dans les salles de Durïn;L'ombre s'étend sur son tombeauEn la Moria, à Khazad-dûmMais encore les étoiles noyées apparaissentDans le sombre Lac du Miroir privé de vent;Là gît sa couronne dans l'eau profonde,Jusqu'à ce que Durïn du sommeil s'éveille."
montagnes,moria,"Le monde est gris, les montagnes sont vieilles;Le feu de la forge est d'un froid de cendre;Nulle harpe n'est pincée, nul marteau ne frappe :Les ténèbres règnent dans les salles de Durïn;L'ombre s'étend sur son tombeauEn la Moria, à Khazad-dûmMais encore les étoiles noyées apparaissentDans le sombre Lac du Miroir privé de vent;Là gît sa couronne dans l'eau profonde,Jusqu'à ce que Durïn du sommeil s'éveille."
montagnes,marteau,"Le monde est gris, les montagnes sont vieilles;Le feu de la forge est d'un froid de cendre;Nulle harpe n'est pincée, nul marteau ne frappe :Les ténèbres règnent dans les salles de Durïn;L'ombre s'étend sur son tombeauEn la Moria, à Khazad-dûmMais encore les étoiles noyées apparaissentDans le sombre Lac du Miroir privé de vent;Là gît sa couronne dans l'eau profonde,Jusqu'à ce que Durïn du sommeil s'éveille."
montagnes,apparaissentdans,"Le monde est gris, les montagnes sont vieilles;Le feu de la forge est d'un froid de cendre;Nulle harpe n'est pincée, nul marteau ne frappe :Les ténèbres règnent dans les salles de Durïn;L'ombre s'étend sur son tombeauEn la Moria, à Khazad-dûmMais encore les étoiles noyées apparaissentDans le sombre Lac du Miroir privé de vent;Là gît sa couronne dans l'eau profonde,Jusqu'à ce que Durïn du sommeil s'éveille."
montagnes,sommeil,"Le monde est gris, les montagnes sont vieilles;Le feu de la forge est d'un froid de cendre;Nulle harpe n'est pincée, nul marteau ne frappe :Les ténèbres règnent dans les salles de Durïn;L'ombre s'étend sur son tombeauEn la Moria, à Khazad-dûmMais encore les étoiles noyées apparaissentDans le sombre Lac du Miroir privé de vent;Là gît sa couronne dans l'eau profonde,Jusqu'à ce que Durïn du sommeil s'éveille."
numéro,morceau,Numéro de Piste 10 Shelob est le dixième morceau de la bande originale de la saison 2 de la série Le Seigneur des Anneaux : Les Anneaux de Pouvoir.
numéro,saison,Numéro de Piste 10 Shelob est le dixième morceau de la bande originale de la saison 2 de la série Le Seigneur des Anneaux : Les Anneaux de Pouvoir.
forteresse,médite,"La tour semble être l'extension même de Sauron, ainsi, lorsque ce dernier réfléchit ou médite sur ses plans, la forteresse tout entière semble être en réflexion."
forteresse,plans,"La tour semble être l'extension même de Sauron, ainsi, lorsque ce dernier réfléchit ou médite sur ses plans, la forteresse tout entière semble être en réflexion."
forteresse,réflexion,"La tour semble être l'extension même de Sauron, ainsi, lorsque ce dernier réfléchit ou médite sur ses plans, la forteresse tout entière semble être en réflexion."
forteresse,fléchit,"La tour semble être l'extension même de Sauron, ainsi, lorsque ce dernier réfléchit ou médite sur ses plans, la forteresse tout entière semble être en réflexion."
forteresse,extension,"La tour semble être l'extension même de Sauron, ainsi, lorsque ce dernier réfléchit ou médite sur ses plans, la forteresse tout entière semble être en réflexion."
forteresse,régence,"Mais étant donné que la forteresse fut érigée grâce au pouvoir de l'Anneau Unique, les Hommes et les Elfes ne purent détruire les fondations de Barad-dûr.[4] Étant donné qu'Isildur n'est point parvenu à détruire l'Unique, Sauron parvint à utiliser le peu de pouvoir qu'il lui restait afin de reconstruire la forteresse en 2951 du Troisième Âge sous la régence de Turgon sur le Gondor.[5] Quelques temps avant la fin du Troisième Âge, Gollum fut capturé et amené à Barad-dûr afin d'y être torturé et interroger au sujet de l'Anneau Unique et ce alors qu'il était également recherché par Gandalf et Aragorn pour les même raisons."
forteresse,fondations,"Mais étant donné que la forteresse fut érigée grâce au pouvoir de l'Anneau Unique, les Hommes et les Elfes ne purent détruire les fondations de Barad-dûr.[4] Étant donné qu'Isildur n'est point parvenu à détruire l'Unique, Sauron parvint à utiliser le peu de pouvoir qu'il lui restait afin de reconstruire la forteresse en 2951 du Troisième Âge sous la régence de Turgon sur le Gondor.[5] Quelques temps avant la fin du Troisième Âge, Gollum fut capturé et amené à Barad-dûr afin d'y être torturé et interroger au sujet de l'Anneau Unique et ce alors qu'il était également recherché par Gandalf et Aragorn pour les même raisons."
forteresse,raisons,"Mais étant donné que la forteresse fut érigée grâce au pouvoir de l'Anneau Unique, les Hommes et les Elfes ne purent détruire les fondations de Barad-dûr.[4] Étant donné qu'Isildur n'est point parvenu à détruire l'Unique, Sauron parvint à utiliser le peu de pouvoir qu'il lui restait afin de reconstruire la forteresse en 2951 du Troisième Âge sous la régence de Turgon sur le Gondor.[5] Quelques temps avant la fin du Troisième Âge, Gollum fut capturé et amené à Barad-dûr afin d'y être torturé et interroger au sujet de l'Anneau Unique et ce alors qu'il était également recherché par Gandalf et Aragorn pour les même raisons."
forteresse,roger,"Mais étant donné que la forteresse fut érigée grâce au pouvoir de l'Anneau Unique, les Hommes et les Elfes ne purent détruire les fondations de Barad-dûr.[4] Étant donné qu'Isildur n'est point parvenu à détruire l'Unique, Sauron parvint à utiliser le peu de pouvoir qu'il lui restait afin de reconstruire la forteresse en 2951 du Troisième Âge sous la régence de Turgon sur le Gondor.[5] Quelques temps avant la fin du Troisième Âge, Gollum fut capturé et amené à Barad-dûr afin d'y être torturé et interroger au sujet de l'Anneau Unique et ce alors qu'il était également recherché par Gandalf et Aragorn pour les même raisons."
forteresse,turgon,"Mais étant donné que la forteresse fut érigée grâce au pouvoir de l'Anneau Unique, les Hommes et les Elfes ne purent détruire les fondations de Barad-dûr.[4] Étant donné qu'Isildur n'est point parvenu à détruire l'Unique, Sauron parvint à utiliser le peu de pouvoir qu'il lui restait afin de reconstruire la forteresse en 2951 du Troisième Âge sous la régence de Turgon sur le Gondor.[5] Quelques temps avant la fin du Troisième Âge, Gollum fut capturé et amené à Barad-dûr afin d'y être torturé et interroger au sujet de l'Anneau Unique et ce alors qu'il était également recherché par Gandalf et Aragorn pour les même raisons."
forteresse,gollum,"Mais étant donné que la forteresse fut érigée grâce au pouvoir de l'Anneau Unique, les Hommes et les Elfes ne purent détruire les fondations de Barad-dûr.[4] Étant donné qu'Isildur n'est point parvenu à détruire l'Unique, Sauron parvint à utiliser le peu de pouvoir qu'il lui restait afin de reconstruire la forteresse en 2951 du Troisième Âge sous la régence de Turgon sur le Gondor.[5] Quelques temps avant la fin du Troisième Âge, Gollum fut capturé et amené à Barad-dûr afin d'y être torturé et interroger au sujet de l'Anneau Unique et ce alors qu'il était également recherché par Gandalf et Aragorn pour les même raisons."
gollum,régence,"Mais étant donné que la forteresse fut érigée grâce au pouvoir de l'Anneau Unique, les Hommes et les Elfes ne purent détruire les fondations de Barad-dûr.[4] Étant donné qu'Isildur n'est point parvenu à détruire l'Unique, Sauron parvint à utiliser le peu de pouvoir qu'il lui restait afin de reconstruire la forteresse en 2951 du Troisième Âge sous la régence de Turgon sur le Gondor.[5] Quelques temps avant la fin du Troisième Âge, Gollum fut capturé et amené à Barad-dûr afin d'y être torturé et interroger au sujet de l'Anneau Unique et ce alors qu'il était également recherché par Gandalf et Aragorn pour les même raisons."
gollum,fondations,"Mais étant donné que la forteresse fut érigée grâce au pouvoir de l'Anneau Unique, les Hommes et les Elfes ne purent détruire les fondations de Barad-dûr.[4] Étant donné qu'Isildur n'est point parvenu à détruire l'Unique, Sauron parvint à utiliser le peu de pouvoir qu'il lui restait afin de reconstruire la forteresse en 2951 du Troisième Âge sous la régence de Turgon sur le Gondor.[5] Quelques temps avant la fin du Troisième Âge, Gollum fut capturé et amené à Barad-dûr afin d'y être torturé et interroger au sujet de l'Anneau Unique et ce alors qu'il était également recherché par Gandalf et Aragorn pour les même raisons."
gollum,forteresse,"Mais étant donné que la forteresse fut érigée grâce au pouvoir de l'Anneau Unique, les Hommes et les Elfes ne purent détruire les fondations de Barad-dûr.[4] Étant donné qu'Isildur n'est point parvenu à détruire l'Unique, Sauron parvint à utiliser le peu de pouvoir qu'il lui restait afin de reconstruire la forteresse en 2951 du Troisième Âge sous la régence de Turgon sur le Gondor.[5] Quelques temps avant la fin du Troisième Âge, Gollum fut capturé et amené à Barad-dûr afin d'y être torturé et interroger au sujet de l'Anneau Unique et ce alors qu'il était également recherché par Gandalf et Aragorn pour les même raisons."
gollum,raisons,"Mais étant donné que la forteresse fut érigée grâce au pouvoir de l'Anneau Unique, les Hommes et les Elfes ne purent détruire les fondations de Barad-dûr.[4] Étant donné qu'Isildur n'est point parvenu à détruire l'Unique, Sauron parvint à utiliser le peu de pouvoir qu'il lui restait afin de reconstruire la forteresse en 2951 du Troisième Âge sous la régence de Turgon sur le Gondor.[5] Quelques temps avant la fin du Troisième Âge, Gollum fut capturé et amené à Barad-dûr afin d'y être torturé et interroger au sujet de l'Anneau Unique et ce alors qu'il était également recherché par Gandalf et Aragorn pour les même raisons."
